name,smiles
Tetrazolyl-l-acetic acid,c1nnnn1CC(=O)O
5-Nitro-1H-benzotriazole,c1cc2c(cc1[N+](=O)[O-])n[nH]n2
Nitroglycerin,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
134ID308V9,c1c(cc(c(c1[N+](=O)[O-])C(=O)O)[N+](=O)[O-])[N+](=O)[O-]
Cyclotrimethylenetrinitramine,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
Pentaerithrityl tetranitrate,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-]
Nitrotriazolone,c1(=O)[nH]c(n[nH]1)[N+](=O)[O-]
Nitrourea,C(=O)(N)N[N+](=O)[O-]
Tetryl,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
2,4,6-trinitroanisol,COc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
tna,c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
4988SZV57R,c1c(cc(c(c1N)[O-])[N+](=O)[O-])[N+](=O)[O-].[Na+]
EG63RYX560,c1cc(c(c(c1[N+](=O)[O-])O)[N+](=O)[O-])O
Z0FDZ0E0AE,C(=N)(N)NN=O
Methylpicric acid,Cc1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
(Nitroimino)di-2,1-ethanediyl dinitrate,C(CO[N+](=O)[O-])N(CCO[N+](=O)[O-])[N+](=O)[O-]
Ammonium picrate,c1c(cc(c(c1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+]
N,N'-Dinitromethanediamine,C(N[N+](=O)[O-])N[N+](=O)[O-]
EF9BEM54XJ,c1c(cc(c(c1[N+](=O)[O-])N(CCO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
3,5-Dinitro-N,N'-bis(2,4,6-trinitrophenyl)-2,6-pyridinediamine,C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C(=N2)NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1-(3,5,7-Trinitro-1,3,5,7-tetrazocan-1-yl)ethanone,CC(=O)N1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
tetrazene,N/N=N/N
CHLOROTRINITROBENZENE,c1cc(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Cl
2,3,5,6-Tetranitroaniline,c1c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
5,5'-(1,2-Hydrazinediyl)bis(2H-tetrazole),c1(n[nH]nn1)NNc2n[nH]nn2
lead styphnate,c1c(c(c(c(c1[N+](=O)[O-])[O-])[N+](=O)[O-])[O-])[N+](=O)[O-].[Pb+2]
1,3,6-Trinitronaphthalene,c1cc2c(cc1[N+](=O)[O-])cc(cc2[N+](=O)[O-])[N+](=O)[O-]
Tetrazene explosive,[H]/N=C(\N)/N(N)NN=C1N=NN=N1.O
